序号,人群,问题分类,问题名称,原理,方法名称,三字经,方法详情,附件,老年人适用时间段,高精质适用时间段,未孕女性适用时间段,"备孕女性
适用时间段","待产女性
适用时间段","产后女性
适用时间段","已育女性
适用时间段"
160,,精神,精气神,"\t书画与太极拳有相通之处,与气功有异曲同工之效。欣赏时需心平气静，使大脑“入静”，具有静心养性，延年益寿的功效。",赏画,赏书画，同太极，使入静，养心神。,\t赏画除了能开阔心胸和眼界、调节心情、减少烦躁和焦虑外，还可通过欣赏绘画作品的特点和画技，增强人大脑的活跃度，益智延年。,/photo/huazhan.jpg,,休闲4,,,,,
161,,精神,精气神,\t曲艺是作为传统文化，在倾听时除了感受美的享受外，更能带来美好回忆，净化心境，愉悦心情，激起对生活的热爱。,听戏曲,听曲艺，善回忆，净心灵，愉心情。,\t三、五志同道合朋友聚到一起，找一个安静的去处，或公园里，或庭院中，或家里，锣鼓家什京胡二胡一色辅开，一曲“我正在城楼观风景，忽听得城外乱纷纷”，趣味无穷！,/photo/changxi.jpg,,休闲2,,,,,
162,,精神,精气神,\t曲艺是作为传统文化，在倾听时除了感受美的享受外，更能带来美好回忆，净化心境，愉悦心情，激起对生活的热爱。,听相声,听曲艺，善回忆，净心灵，愉心情。,\t听相声常引发笑声一片，笑的好处有很多。挪威科学技术大学一项研究成果显示，笑可以使人产生更多的保护性荷尔蒙，调节血压，减小压力，增强免疫系统。,/photo/xiangsheng.jpg,,休闲1,,,,,
163,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,养花草,多参与，有趣事，乐享受，消抑郁。,\t当感到焦虑不安时，可以放下手头的工作和事情，给花草浇浇水、施施肥、剪剪枝，泥土的芬芳和花草的清香能缓解紧张和压力。,/photo/yanghuacao.jpg,,休闲1,,,,,
164,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,钓鱼,多参与，有趣事，乐享受，消抑郁。,\t垂钓时，意识完全潜没在鱼漂的一抖一动的意境之中。这时，人的心跳搏动最正常，血压最稳定。只有一小部分的脑神经在运动，大部分脑神经则得到充分休息。这就起到了调节、放松、消除疲劳的作用。,/photo/chuidiao.jpg,,休闲2（周末）,,,,,
165,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,绘画,多参与，有趣事，乐享受，消抑郁。,\t研究表明，人在绘画时心跳、血压、呼吸等生理活动降低，心理得到净化，负性情绪得以改善。,/photo/huihua.jpg,,休闲3,,,,,
166,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,下棋,多参与，有趣事，乐享受，消抑郁。,\t下棋是一种静中有动、外静内动的活动，需要凝神静气、全神贯注，神凝则心气平静，专注则杂念全消。,/photo/xiaqi.jpg,,休闲2（周末）,,,,,
167,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,跳舞,多参与，有趣事，乐享受，消抑郁。,\t跳舞时能量消耗至少为人处于安静状态下的3-4倍，轻松的舞步，矫健的动作，愉快的音乐，能使人心旷神怡，也是一种美的享受。,/photo/tiaowu.jpg,,休闲1,,,,,
168,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,看电影,多参与，有趣事，乐享受，消抑郁。,\t电影情节能牵动人的情绪，其中的情节可令人产生共鸣，甚至能帮助人解开心中的郁结，释放心中的负面情绪。,/photo/kandianying1.jpg,,休闲3,,,,,
169,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,欣赏书画,多参与，有趣事，乐享受，消抑郁。,"\t书画可以赏心悦目,给人以美的享受，令人在其中，心境也会随之得到一种超然与净化，使心情舒畅，达到养生的效果。",/photo/shuhua.jpg,,休闲1,,,,,
170,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,唱歌,多参与，有趣事，乐享受，消抑郁。,\t唱歌时，隔阂膜的活动可以调节空气的吸入和呼出量。心情焦虑、不安时，大声唱完一首歌，心情会得到平复，负性情绪也能得到释放。,/photo/changge11.jpg,,休闲2（周末）,,,,,
171,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,涂鸦,多参与，有趣事，乐享受，消抑郁。,\t给结构复杂的图形图上自己喜欢的颜色，全身心的投入到色彩的时候，就能接近冥想的状态，内心就会变得简单而单纯。,/photo/tuya.jpg,,休闲3,,,,,
172,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,阅读,多参与，有趣事，乐享受，消抑郁。,\t读书可以说是最简单、消费最低的放松的方式，抛开所有烦恼，沉浸在书的世界，不仅可以放松身心，还可以使人增加知识和乐趣。,/photo/kanshu.jpg,,休闲4,,,,,
173,,精神,焦虑感,\t熏香是休闲养生、陶冶情操的日常必备品。通过口鼻肺腑的呼吸，让药材的有效成分进入体内，随气血流通，循经络运化，提神醒脑，定气安神，解除疲劳，缓解压力，同时促进体内五脏六腑的调和，增强身体免疫力。,檀香,点香薰，活气血，减焦虑，缓压力。,\t提神醒脑，镇静安抚神经紧张及焦虑，有助于思考决策，余香醇醇。,/photo/tanxiang.jpeg,,休闲2（工作日）,,,,,
174,,精神,焦虑感,\t熏香是休闲养生、陶冶情操的日常必备品。通过口鼻肺腑的呼吸，让药材的有效成分进入体内，随气血流通，循经络运化，提神醒脑，定气安神，解除疲劳，缓解压力，同时促进体内五脏六腑的调和，增强身体免疫力。,薰衣草,点香薰，活气血，减焦虑，缓压力。,\t净化，安抚心灵、使人镇静，帮助睡眠，治疗失眠。,/photo/xunyicao.jpeg,,休闲4,,,,,
175,,精神,焦虑感,\t微笑的时候，大脑中会释放具有阵痛作用的激素—内啡肽，即便不是发自内心的微笑，做出笑的表情同样能起到平缓情绪的效果。,开怀大笑,开怀笑，胸扩张，促循环，消紧张。,\t笑的过程中，人的胸肌得到扩张，胸部运动加强，呼吸均匀，有利于从呼吸道排泄废物，加快血液循环，自主神经功能得到调节，有助于驱散焦虑、紧张、忧愁等不良情绪。,/photo/daxiao.jpg,,休闲1,,,,,
176,,精神,抑郁感,\t微笑的时候，大脑中会释放具有阵痛作用的激素—内啡肽，即便不是发自内心的微笑，做出笑的表情同样能起到平缓情绪的效果。,开怀大笑,开怀笑，胸扩张，促循环，消抑郁。,\t笑的过程中，人的胸肌得到扩张，胸部运动加强，呼吸均匀，有利于从呼吸道排泄废物，加快血液循环，自主神经功能得到调节，有助于驱散焦虑、紧张、忧愁等不良情绪。,/photo/daxiao.jpg,,休闲1,,,,,
177,,精神,抑郁感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,涂鸦,培兴趣，陶怡情，消抑郁，心愉悦。,\t给结构复杂的图形图上自己喜欢的颜色，全身心的投入到色彩的时候，就能接近冥想的状态，内心就会变得简单而单纯。,/photo/tuya.jpg,,休闲2,,,,,
178,,精神,抑郁感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,唱歌,培兴趣，陶怡情，消抑郁，心愉悦。,\t唱歌时大脑释放的激素，能促进身心愉快，提高免疫能力，是最好的“保健药”。,/photo/changge11.jpg,,休闲3,,,,,
179,,精神,抑郁感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,跳舞,培兴趣，陶怡情，消抑郁，心愉悦。,\t科学家发现，有氧舞蹈是摆脱沮丧情绪或其他负面情绪的最佳方式之一。人在沮丧时生理处于低活动状态，有氧舞蹈则可提升身体的活动量，打破沮丧或抑郁的循环，使身心重新处于协调的状态。,/photo/tiaowu.jpg,,休闲1,,,,,
180,,精神,抑郁感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,练书法,培兴趣，陶怡情，消抑郁，心愉悦。,\t书法练习可降低心率和血压活动水平，缓解焦虑和烦躁情绪，使人获得安宁、平静的情绪。研究表明，练书法可改善人们对自我控制的信心，促进无助和抑郁情绪的转变。,/photo/lainshufa.jpg,,休闲4,,,,,
181,,精神,抑郁感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,养花草,培兴趣，陶怡情，消抑郁，心愉悦。,\t花草是一种恬静、美好的生命，而且能净化空气，杀灭细菌，在养殖的过程中， 我们需要定期给他们浇浇水、剪剪枝、换换土，对我们来说就是一套“韵律操”，对身心都有益。,/photo/yanghuacao.jpg,,休闲1,,,,,
182,,精神,抑郁感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,养宠物,培兴趣，陶怡情，消抑郁，心愉悦。,\t英国人类与动物关系研究专家、心理专家认为，人与动物亲密接触，具有惊人的安抚效应，有助于人体缓解自身压力。,/photo/chongwu.jpg,,休闲4,,,,,
183,,精神,抑郁感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,看电影,培兴趣，陶怡情，消抑郁，心愉悦。,"\t人在心情不好的时候看喜剧电影,影片中的幽默的片段让人忘记忧郁，使自己融入其中，且幽默的语言和动作会让人笑出来，笑会使沮丧情绪消退。",/photo/kandianying1.jpg,,休闲3,,,,,
184,,精神,抑郁感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,郊游,培兴趣，陶怡情，消抑郁，心愉悦。,\t在大自然的怀抱里享受自然的山水风光，领略自然界的美景，必然能使心胸开阔，舒畅坦荡。,/photo/jiaoyou.jpg,,休闲1（周末）,,,,,
185,,精神,抑郁感,\t情感波动主要是大脑控制的，专家表示在情绪低落的时候，理发是一个不错的选择。,理发,当理发，增血量，松身心，消郁闷。,"\t人坐在椅子上的时候，整体会比显出放松舒适的状态，加上在理发的时候，大脑的皮层会受到刺激，增加脑补的血液供应量，因此会改善郁闷的心情。
",/photo/lifa.jpg,,休闲2（周末）,,,,,
186,,精神,抑郁感,\t接受适当的阳光，有助于促进钙的吸收，对舒缓郁闷情绪具有很好的效果。,晒太阳,晒太阳，宜有时，促吸收，消沮丧。,\t在夏季，日照时间可选择上午9：00-10：00，下午3：00-5：00，其他季节可延迟到10：00以后。气温过高，超过30℃时，不宜做晒太阳。,/photo/shaitaiyuang.jpg,,休闲1（周末）,,,,,
187,,精神,抑郁感,\t熏香是休闲养生、陶冶情操的日常必备品。通过口鼻肺腑的呼吸，让药材的有效成分进入体内，随气血流通，循经络运化，提神醒脑，定气安神，解除疲劳，缓解压力，同时促进体内五脏六腑的调和，增强身体免疫力。,桂花,点香薰，活气血，消沮丧，缓压力。,\t消除沮丧情绪，使人产生美好的联想。,/photo/guihua.jpeg,,休闲4,,,,,
188,,精神,抑郁感,\t熏香是休闲养生、陶冶情操的日常必备品。通过口鼻肺腑的呼吸，让药材的有效成分进入体内，随气血流通，循经络运化，提神醒脑，定气安神，解除疲劳，缓解压力，同时促进体内五脏六腑的调和，增强身体免疫力。,香  茅,点香薰，活气血，消沮丧，缓压力。,\t提神醒脑，驱除沮丧，愉悦心情，减轻风湿头痛。提升身体活力。,/photo/xiangmao.jpeg,,休闲1（工作日）,,,,,
189,,整体,减肥塑形,\t沐浴不但可清洁身体，还可促进全身细胞的新陈代谢，提高内分泌腺的机能，减肥消脂，亦可消除神经紧张和疲劳。,沐浴法,常沐浴，促代谢，消脂肪，除疲劳。,\t水温在4 2℃～43℃左右，从胸口以下都要泡在水里，直到发汗后走出浴缸：等身体干了之后，再入浴泡到发汗，再出来。一直重复做5次。依个人体质的不同，一个月约可瘦4千克左右。,/photo/muyu.jpg,,,休闲2（工作日）,,,,
190,,整体,减肥塑形,\t兴趣减肥法是在培养喜好的同时，达到修身养性、快乐减肥的效果。,唱歌,唱着歌，跳起舞，一边乐，一边瘦。,\t减肥专家经研究发现，一个人唱完一首歌后的氧气消耗量和跑完一百米后的氧气消耗量相当，也就是说唱一首歌等于跑了一百米。而且唱歌时，隔阂膜的活动可以调节空气的吸入和呼出量，是平静情绪的好方法。,/photo/changge1.jpg,,,休闲1,,,,
191,,整体,减肥塑形,\t兴趣减肥法是在培养自己喜好的同时，达到修身养性、快乐减肥的效果。,跳舞,唱着歌，跳起舞，一边乐，一边瘦。,\t跳舞时能量消耗至少为人处于安静状态下的3-4倍，轻松的舞步，矫健的动作，愉快的音乐，能使人心旷神怡，也是一种美的享受。,/photo/tiaowu.jpg,,,休闲3,,,,
192,,整体,减肥塑形,\t专家认为开怀大笑1分钟相当于运动45分钟。,大笑,"开怀笑，同运动，
减脂肪，精神悦。",\t坚持每天纵情大笑1-2分钟，能起到意想不到的减肥效果。,/photo/weixiao.jpg,,,休闲1,,,,
193,,整体,减肥塑形,\t吹气球法利用吸气和吹气，使胃产生饱足感，从而抑制大脑中的饥饿中枢，降低食欲，减少食物的摄入，以达到减肥的目的。吹气时，胸、腹、膈肌等处的肌肉都会参与运动，增加热量的消耗，从而减少脂肪的堆积,吹气球,吹气球，降食欲，消热量，减脂肪。,\t每天向气球里吹气，坚持一个月体重就会显著地下降。该法在饭前1小时进行效果较好。,/photo/chuiqiqiu.jpg,,,休闲2（工作日）,,,,
194,,整体,减肥塑形,\t休闲运动可调整中枢神经系统功能，增强新陈代谢，强身健体，纤体塑形，愉悦心情。,逛街,促代谢，强身体，塑纤体，愉情绪。,\t逛街是一种很好的有氧运动，即让你在你不知不觉中锻炼了身体，减肥消脂，又愉悦了心情。,/photo/guangjie.jpg,,,休闲1（周末）,,,,
195,,整体,减肥塑形,\t休闲运动可调整中枢神经系统功能，增强新陈代谢，强身健体，纤体塑形，愉悦心情。,滑冰,促代谢，强身体，塑纤体，愉情绪。,\t滑冰消耗的卡路里几乎和慢跑相等，能有效控制体重，塑造体形，还可以缓解压力，延缓衰老。,/photo/liubing.jpg,,,休闲2（周末）,,,,
196,,整体,减肥塑形,\t休闲运动可调整中枢神经系统功能，增强新陈代谢，强身健体，纤体塑形，愉悦心情。,打拳,促代谢，强身体，塑纤体，愉情绪。,\t打拳能迅速燃烧脂肪（平均每小时能消耗700卡路里），可以促进血液循环及新陈代谢，增加身体的柔软度及舒缓压力，还能增强胆量，勇气和自信。,/photo/daquan.jpg,,,休闲1,,,,
197,,整体,减肥塑形,\t休闲运动可调整中枢神经系统功能，增强新陈代谢，强身健体，纤体塑形，愉悦心情。,跳绳,促代谢，强身体，塑纤体，愉情绪。,\t研究发现，和一般运动相比，相同时间内跳绳消耗的热量要远大于慢跑、散步、打球等，是很好的减肥塑形方法，而且对增强肺活量、免疫力，缓解颈椎腰椎酸痛很有效果。,/photo/tiaosheng.jpg,,,休闲3,,,,
198,,整体,减肥塑形,\t休闲运动可调整中枢神经系统功能，增强新陈代谢，强身健体，纤体塑形，愉悦心情。,做家务,促代谢，强身体，塑纤体，愉情绪。,\t花些时间打扫或整理房间，花费一定的体力和心思，不仅给人一种耳目一新的感觉，还可以消耗大量热量，轻松甩掉脂肪。,/photo/zuojiawu.jpg,,,休闲1,,,,
199,,头发,白发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，适当的给自己放松，能有效的缓解情绪，放松情绪对白发、脱发症也能起到很好的改善和预防。,郊游,消紧张，缓压力，松身心，生乌发。,\t在大自然的怀抱里享受自然的山水风光，领略自然界的美景，必然能使心胸开阔，舒畅坦荡。,/photo/jiaoyou.jpg,,,休闲1（周末）,,,,
200,,头发,白发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，适当的给自己放松，能有效的缓解情绪，放松情绪对白发、脱发症也能起到很好的改善和预防。,垂钓,消紧张，缓压力，松身心，生乌发。,\t垂钓时，意识完全潜没在鱼漂的一抖一动的意境之中。这时，人的心跳搏动最正常，血压最稳定。只有一小部分的脑神经在运动，大部分脑神经则得到充分休息。这就起到了调节、放松、消除疲劳的作用。,/photo/chuidiao.jpg,,,休闲2（周末）,,,,
201,,头发,白发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，适当的给自己放松，能有效的缓解情绪，放松情绪对白发、脱发症也能起到很好的改善和预防。,唱歌,消紧张，缓压力，松身心，生乌发。,\t唱歌、唱戏时大脑释放的激素，能促进身心愉快，提高免疫能力，是最好的“保健药”。,/photo/changge11.jpg,,,休闲3,,,,
202,,头发,白发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，适当的给自己放松，能有效的缓解情绪，放松情绪对白发、脱发症也能起到很好的改善和预防。,跳舞,消紧张，缓压力，松身心，生乌发。,\t跳舞时能量消耗至少为人处于安静状态下的3-4倍，轻松的舞步，矫健的动作，愉快的音乐，能使人心旷神怡，也是一种美的享受。,/photo/tiaowu.jpg,,,休闲1,,,,
203,,头发,白发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，适当的给自己放松，能有效的缓解情绪，放松情绪对白发、脱发症也能起到很好的改善和预防。,读书看报,消紧张，缓压力，松身心，生乌发。,\t读书、看杂志可以说是最简单、消费最低的放松的方式，抛开所有烦恼，沉浸在书的世界，不仅可以放松身心，还可以使人增加知识和乐趣。,/photo/kanshu.jpg,,,休闲4,,,,
204,,头发,白发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，适当的给自己放松，能有效的缓解情绪，放松情绪对白发、脱发症也能起到很好的改善和预防。,做手工,消紧张，缓压力，松身心，生乌发。,\t在做手工时需要聚精会神、专心致志，可排除杂念和消除不良情绪，净化人的心灵，产生愉悦、乐观的精神状态。,/photo/zuoshougong1.jpg,,,休闲3,,,,
205,,头发,白发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，适当的给自己放松，能有效的缓解情绪，放松情绪对白发、脱发症也能起到很好的改善和预防。,涂鸦,消紧张，缓压力，松身心，生乌发。,\t给结构复杂的图形图上自己喜欢的颜色，全身心的投入到色彩的时候，就能接近冥想的状态，内心就会变得简单而单纯。,/photo/tuya.jpg,,,休闲1,,,,
206,,头发,脱发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，经常参加感兴趣的休闲娱乐活动，消除精神疲劳，放松心态，对脱发症能起到很好的改善和预防。,绘画,陶性情，消疲劳，松身心，缓脱发。,\t研究表明，人在绘画时心跳、血压、呼吸等生理活动降低，心理得到净化，负性情绪得以改善。,/photo/huihua.jpg,,,休闲2（周末）,,,,
207,,头发,脱发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，经常参加感兴趣的休闲娱乐活动，消除精神疲劳，放松心态，对脱发症能起到很好的改善和预防。,涂鸦,陶性情，消疲劳，松身心，缓脱发。,\t给结构复杂的图形图上自己喜欢的颜色，全身心的投入到色彩的时候，就能接近冥想的状态，内心就会变得简单而单纯。,/photo/tuya.jpg,,,休闲1,,,,
208,,头发,脱发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，经常参加感兴趣的休闲娱乐活动，消除精神疲劳，放松心态，对脱发症能起到很好的改善和预防。,练书法,陶性情，消疲劳，松身心，缓脱发。,\t练书法不仅能带来生理状态的松弛，也能帮助心理状态的宁静，有助于排除不良因素的干扰，达到养心安神、调节平衡的作用。,/photo/gangbizi.jpg,,,休闲3,,,,
209,,头发,脱发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，经常参加感兴趣的休闲娱乐活动，消除精神疲劳，放松心态，对脱发症能起到很好的改善和预防。,垂钓,陶性情，消疲劳，松身心，缓脱发。,\t垂钓时，意识完全潜没在鱼漂的一抖一动的意境之中。这时，人的心跳搏动最正常，血压最稳定。只有一小部分的脑神经在运动，大部分脑神经则得到充分休息。这就起到了调节、放松、消除疲劳的作用。,/photo/chuidiao.jpg,,,休闲2（周末）,,,,
210,,头发,脱发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，经常参加感兴趣的休闲娱乐活动，消除精神疲劳，放松心态，对脱发症能起到很好的改善和预防。,插花,陶性情，消疲劳，松身心，缓脱发。,\t插花是一种很好的修身养性之道，插花时讲究心平气和，神态专注，举止文明、优雅， 提高精神文化素质和艺术修养、陶冶情操的同时，还可美化生活，增加情趣。,/photo/chahua.jpg,,,休闲3,,,,
211,,头发,脱发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，经常参加感兴趣的休闲娱乐活动，消除精神疲劳，放松心态，对脱发症能起到很好的改善和预防。,摄影,陶性情，消疲劳，松身心，缓脱发。,\t摄影一种最放松的全身运动，既锻炼了身体又培养了兴趣，让你对外面的世界充满好奇，保持旺盛的生命力。,/photo/shexiangji.jpg,,,休闲1（周末）,,,,
212,,头发,脱发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，经常参加感兴趣的休闲娱乐活动，消除精神疲劳，放松心态，对脱发症能起到很好的改善和预防。,烹饪,陶性情，消疲劳，松身心，缓脱发。,\t不但能充实生活，增长自己的菅养知识和烹饪技巧，还能为家人带来健康和美的享受。,/photo/pengren.jpg,,,休闲3,,,,
213,,头发,脱发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，经常参加感兴趣的休闲娱乐活动，消除精神疲劳，放松心态，对脱发症能起到很好的改善和预防。,做手工,陶性情，消疲劳，松身心，缓脱发。,\t在做手工时需要聚精会神、专心致志，可排除杂念和消除不良情绪，净化人的心灵，产生愉悦、乐观的精神状态。,/photo/zuoshougong1.jpg,,,休闲4,,,,
214,,皮肤,皮肤暗黄,\t保持愉快乐观的精神，不但可以远离疾病，而且容颜可以变得靓丽许多。,开怀大笑,开怀笑，心情好，防疾病，靓容颜。,\t微笑的时候，大脑中会释放具有阵痛作用的激素—内啡肽，即便不是发自内心的微笑，做出笑的表情同样能起到平缓情绪的效果。,/photo/daxiao.jpg,,,休闲1,,,,
215,,精神,精气神,\t用微笑铸造精气神。,微笑,常微笑，心情好，缓压力，精神足。,\t医学研究表明，笑可以刺激人体分泌多巴胺，使人产生欣喜和欢乐感，可以起到缓解压力，释放精神的作用。,/photo/daxiao.jpg,,,休闲1,,,,
216,,精神,精气神,\t培养广泛的兴趣爱好，不仅增加生活情趣，还能修身养性、陶冶情操、养心怡神。,练书法,培兴趣，增情趣，陶情操，养心神。,\t练习书法过程中，陶冶性情的同时还能锻炼身体。当完成一幅满意的作品，会产生一种成功喜悦之感，有益身心健康。,/photo/lainshufa.jpg,,,休闲2,,,,
217,,精神,精气神,\t培养广泛的兴趣爱好，不仅增加生活情趣，还能修身养性、陶冶情操、养心怡神。,插花,培兴趣，增情趣，陶情操，养心神。,\t插花是一种很好的修身养性之道，插花时讲究心平气和，神态专注，举止文明、优雅， 提高精神文化素质和艺术修养、陶冶情操的同时，还可美化生活，增加情趣。,/photo/chahua.jpg,,,休闲3,,,,
218,,精神,精气神,\t培养广泛的兴趣爱好，不仅增加生活情趣，还能修身养性、陶冶情操、养心怡神。,唱歌,培兴趣，增情趣，陶情操，养心神。,\t唱歌、唱戏时大脑释放的激素，能促进身心愉快，提高免疫能力，是最好的“保健药”。,/photo/changge1.jpg,,,休闲1,,,,
219,,精神,精气神,\t培养广泛的兴趣爱好，不仅增加生活情趣，还能修身养性、陶冶情操、养心怡神。,养花草,培兴趣，增情趣，陶情操，养心神。,\t花草是一种恬静、美好的生命，在养殖的过程中，需要定期给他们浇浇水、剪剪枝、换换土，对我们来说就是一套“韵律操”，对身心都有益。,/photo/yanghuacao.jpg,,,休闲2（周末）,,,,
220,,精神,精气神,\t读书能增长知识，陶冶性情，找到精神寄托。医学专家认为无论阅读或朗诵，都有增强肺功能之效，且能活跃思维，是一种健身强脑的"良药"。,读书,常读书，获知识，增情趣，愉身心。,\t读书可以说是最简单、消费最低的放松的方式，抛开所有烦恼，沉浸在书的世界，不仅可以放松身心，还可以使人增加知识和乐趣。,/photo/kanshu.png,,,休闲4,,,,
221,,精神,精气神,"\t书画与太极拳有相通之处,与气功有异曲同工之效。欣赏时需心平气静，使大脑“入静”，具有静心养性，延年益寿的功效。",欣赏书法,赏书画，同太极，使入静，养心神。,"\t好的书法可以赏心悦目,给人以美的享受，令人在其中，心境也会随之得到一种超然与净化，使心情舒畅，达到养生的效果。",/photo/shufa.jpg,,,休闲1（周末）,,,,
222,,精神,精气神,"\t书画与太极拳有相通之处,与气功有异曲同工之效。欣赏时需心平气静，使大脑“入静”，具有静心养性，延年益寿的功效。",赏画,赏书画，同太极，使入静，养心神。,\t赏画除了能开阔心胸和眼界、调节心情、减少烦躁和焦虑外，还可通过欣赏绘画作品的特点和画技，增强人大脑的活跃度，益智延年。,/photo/huazhan.jpg,,,休闲2（周末）,,,,
223,,精神,精气神,\t曲艺是作为传统文化，在倾听时除了感受美的享受外，更能带来美好回忆，净化心境，愉悦心情，激起对生活的热爱。,听相声,听曲艺，善回忆，净心灵，愉心情。,\t听相声常引发笑声一片，笑的好处有很多。挪威科学技术大学一项研究成果显示，笑可以使人产生更多的保护性荷尔蒙，调节血压，减小压力，增强免疫系统。,/photo/xiangsheng.jpg,,,休闲3,,,,
224,,精神,自卑感,\t利用积极的言语、行为进行自我暗示，是用心理学中的潜意识来训练自己重拾自信的好方法。,言语暗示,常暗示，正能量，塑自信，效果佳。,\t将头慢慢向后转，然后向前，直到你的下颌贴到你的胸前；先将你的下颌松弛—下，并摇头1钟，接着抬起头，将两手掌放置在面颊上并将头尽量向后转数秒钟。之后直起头对着镜子看自己，同时给面部肌肉一些肯定的暗示：“我是最棒的，我接纳自己。”,/photo/yanyuanshi.jpg,,,休闲2,,,,
225,,精神,自卑感,\t利用积极的言语、行为进行自我暗示，是用心理学中的潜意识来训练自己重拾自信的好方法。,行为暗示,常暗示，正能量，塑自信，效果佳。,\t抬头挺胸快速走路，会给自己一个提示：我是一个重要的人，要去做重要的事情。这种提示会给自己一种心理暗示，帮助自己建立起超凡的信心。,/photo/xingweianshi.jpg,,,休闲1,,,,
226,,精神,自卑感,\t写日记是一个很好的发泄渠道。美国国立卫生院调查显示，写日记可减轻心理压力。,写日记,写日记，易发泄，减压力，助分析。,\t当产生不开心的事情时，通过把心情写在日记里，可以宣泄不良情绪，也有助于分析事情的前因后果。,/photo/xieriji.jpg,,,休闲2（工作日）,,,,
227,,精神,自卑感,\t微笑能给人自信，它是医治信心不足的良药。,微笑,常微笑，缓情绪，减痛苦，信心足。,\t微笑的时候，大脑中会释放具有阵痛作用的激素—内啡肽，即便不是发自内心的微笑，做出笑的表情同样能起到平缓情绪的效果。,/photo/daxiao.jpg,,,休闲1,,,,
228,,精神,自卑感,\t美国心理学家表示，照镜子能给人信心。,照镜子,常照镜，眉眼笑，多鼓励，有信心。,\t闲暇时，不妨多照照镜子，看着自己的眼睛，微笑地告诉自己“你看上去真棒”，或想开心的事，体会与心灵对话的美好感觉。,/photo/zhaojingzi.jpg,,,休闲1,,,,
